,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
1001,0.0,0.0,29.0,61.0,0.0,4396.0,126978.0,12.0,1.0399224021746113e+18,JayHymLive,-23053.815864909076
1002,0.0,0.0,1466.0,652.0,145.0,2561.0,125698.0,20.0,1.0356410620297503e+18,Eccles Health Sciences Library,-22322.717044088917
1003,0.0,0.0,742.0,380.0,10.0,4008.0,125698.0,32.0,1.0371989644817777e+18,Devika Kher,-22784.58001396253
1004,0.0,1.0,763.0,586.0,136.0,8410.0,147852.0,17.0,1.037043876513677e+18,estacion cadeaux,-28067.024398629448
1005,1.0,0.0,822.0,209.0,16.0,1867.0,112351.0,29.0,1.0398778729057935e+18,Rose Stuckey Kirk,-19791.532202152994
1006,3.0,0.0,168.0,169.0,0.0,1073.0,94587.0,18.0,1.039889545548976e+18,Jonathan Doria,-16382.320250892983
1007,2.0,3.0,13952.0,14355.0,38.0,1582.0,99587.0,36.0,1.0399008009091603e+18,Taggart Rehnn,-17898.09267780361
1008,0.0,1.0,572.0,17.0,125.0,5994.0,216548.0,20.0,1.0371822343132774e+18,North America News Network,-38853.301302355736
1009,0.0,3.0,60.0,136.0,2.0,4875.0,132514.0,17.0,1.0385282979053896e+18,Sue,-24157.60745278361
1010,7.0,360.0,3103.0,7847.0,246.0,45.0,2157.0,17.0,7.26e+17,Apple News,281.32910289604445
1011,2.0,373.0,23452.0,5548.0,67.0,335.0,21542.0,18.0,9.14e+17,loveloveiphone,-7511.550007562422
1012,3.0,3.0,16.0,91.0,0.0,990.0,124578.0,32.0,1.038785226044928e+18,Muchamad Eki S.A. (2018),-21403.47905602183
1013,0.0,0.0,436.0,384.0,21.0,325.0,21542.0,32.0,1.039890977639592e+18,Chris Winchester,-3779.263817089303
1014,0.0,0.0,378.0,307.0,3.0,1236.0,96325.0,10.0,1.0399128106946355e+18,jean andrea,-16754.196312948552
1015,0.0,0.0,200.0,356.0,0.0,10000.0,154893.0,10.0,1.0399003679352668e+18,Anil Sharma,-29795.863367295246
1016,0.0,0.0,1749.0,102.0,25.0,1.0,99587.0,28.0,1.0379462319458673e+18,Мазов Андрей,-17152.897349397495
1017,0.0,0.0,1079.0,689.0,190.0,5841.0,84515.0,20.0,8.804711661791315e+17,Hibbitts Design,-16460.778554648074
1018,2.0,5.0,14521.0,313.0,236.0,901.0,88958.0,34.0,1.0398780655459821e+18,MEI,-18108.139647770946
1019,0.0,0.0,148.0,35.0,10.0,241.0,19485.0,43.0,1.0366024441160458e+18,GOB Retail,-3402.0419468274267
1020,0.0,0.0,251.0,1.0,22.0,415.0,99625.0,13.0,1.0394952048210575e+18,My AI Reading List,-17031.380103294363
1021,0.0,18.0,1106.0,2530.0,67.0,251.0,998.0,17.0,8.787800405610086e+17,Beth Lockhart,-65.31515211305995
1022,4.0,0.0,4095.0,1084.0,20.0,869.0,87499.0,23.0,1.0351853128368415e+18,UTSA Student Union,-15734.71702536142
1023,0.0,0.0,222.0,198.0,7.0,2826.0,22154.0,17.0,1.0398843601181983e+18,TMJ-ELP Cleric. Jobs,-4782.089667534511
1024,0.0,5.0,269.0,5.0,6.0,11200.0,199856.0,18.0,1.0394125687822418e+18,The Devel Bot,-37898.245670364726
1025,0.0,0.0,20.0,860.0,0.0,64536.0,321542.0,12.0,1.0392359409992622e+18,离千北,-77667.04081911816
1026,0.0,0.0,499.0,552.0,0.0,82077.0,321542.0,43.0,1.0398783740789842e+18,6 Pack Volleyball,-84185.01281324559
1027,0.0,0.0,80.0,60.0,62.0,4039.0,125698.0,12.0,8.717713154007204e+17,Jaime Dias,-22701.52275748614
1028,3.0,304.0,5575.0,2587.0,192.0,45.0,8895.0,23.0,9.14e+17,Thierry Pires,-2177.3418203457127
1029,0.0,0.0,222.0,193.0,25.0,360.0,124578.0,21.0,1.0398756968965651e+18,Fairfax Cosmo Jobs,-21192.227151430463
